BIB,Name,Country,Gender,Division,Swim,Bike,Run,Overall,Division Rank,Gender Rank,Overall Rank,T1,T2
1887,"Raske, Matt",USA,Male,M35-39,00:55:57,05:06:44,03:09:55,09:19:12,26,132,148,00:02:15,00:04:21
1856,"Marquez balta, Oscar",ESP,Male,M35-39,01:04:38,04:55:10,03:13:43,09:19:16,27,133,149,00:02:22,00:03:23
1311,"Tomaiuolo, Alessandro",ITA,Male,M45-49,00:58:27,04:59:36,03:14:34,09:19:25,6,134,150,00:03:18,00:03:30
1462,"Dalquano, Cesar",BRA,Male,M40-44,00:59:55,04:55:38,03:17:35,09:19:25,13,134,150,00:03:01,00:03:16
2150,"Taylor, Craig",USA,Male,M30-34,00:56:57,04:51:36,03:24:16,09:19:38,29,136,152,00:03:47,00:03:02
2312,"Sprentall, Shaun",USA,Male,M25-29,00:58:36,05:00:14,03:13:40,09:19:41,18,137,153,00:03:03,00:04:08
1450,"Cardoen, Olivier",BEL,Male,M40-44,00:55:57,04:43:07,03:32:44,09:19:42,14,138,154,00:02:59,00:04:55
2217,"Purbrook, Ruth",GBR,Female,F30-34,01:01:22,04:55:27,03:17:45,09:20:06,1,17,155,00:02:35,00:02:57
2082,"Kundrat, Jan",CZE,Male,M30-34,01:06:12,04:51:03,03:17:06,09:20:10,30,139,156,00:02:35,00:03:14
1768,"Burkhardt, Christian",DEU,Male,M35-39,01:05:31,04:53:19,03:14:58,09:20:11,28,140,157,00:03:09,00:03:14
1813,"Geitonas, Christos",GRC,Male,M35-39,01:02:46,05:01:22,03:08:30,09:20:13,29,141,158,00:03:56,00:03:39
1101,"Antonetti, Lucas",ARG,Male,M45-49,00:58:12,05:02:58,03:13:53,09:20:24,7,142,159,00:02:23,00:02:58
2121,"Pysto, Toni",FIN,Male,M30-34,00:57:16,04:59:05,03:19:37,09:21:10,31,143,160,00:02:17,00:02:55
1524,"Horanyi, Gabor",HUN,Male,M40-44,01:03:56,05:03:09,03:06:54,09:21:30,15,144,161,00:03:38,00:03:53
1934,"Williams, Jason",GBR,Male,M35-39,01:01:41,05:04:53,03:06:20,09:21:41,30,145,162,00:04:15,00:04:32
1902,"Stormo, Lars Petter",NOR,Male,M35-39,00:58:39,05:00:43,03:16:09,09:21:46,31,146,163,00:02:42,00:03:33
2297,"Portugal reibel, Christopher",PER,Male,M25-29,00:53:07,05:02:00,03:17:20,09:21:47,19,147,164,00:03:37,00:05:43
2021,"Bianchini, Thiago",BRA,Male,M30-34,00:58:45,05:08:00,03:09:14,09:21:58,32,148,165,00:02:44,00:03:15
1444,"Brown, Simon",NZL,Male,M40-44,01:14:54,04:49:51,03:10:12,09:22:09,16,149,166,00:03:21,00:03:51
2146,"Stansfield, Sion",GBR,Male,M30-34,01:08:50,04:41:01,03:25:13,09:22:09,33,149,166,00:04:11,00:02:54
2135,"Schmitt, Edward",USA,Male,M30-34,00:59:11,04:47:51,03:29:46,09:22:18,34,151,168,00:02:48,00:02:42
1451,"Caron, Martin",CAN,Male,M40-44,01:08:37,04:52:28,03:14:59,09:22:26,17,152,169,00:03:10,00:03:12
1743,"Aguirreche, Alexander",ESP,Male,M35-39,01:02:47,04:49:52,03:22:50,09:22:36,32,153,170,00:02:49,00:04:18
1874,"Oh, Young Hwan",KOR,Male,M35-39,01:03:18,04:51:14,03:22:04,09:22:47,33,154,171,00:02:37,00:03:34
1806,"Faria, Marcos",BRA,Male,M35-39,00:53:06,05:04:33,03:16:17,09:22:59,34,155,172,00:03:28,00:05:35
3033,"Liepold, Kristin",DEU,Female,FPRO,01:15:24,05:02:21,03:00:24,09:23:13,17,18,173,00:02:07,00:02:57
2020,"Betancort corujo, Roberto",ESP,Male,M30-34,00:59:03,04:59:55,03:17:21,09:23:35,35,156,174,00:03:39,00:03:37
2030,"Chedburn, Duncan",GBR,Male,M30-34,01:05:44,04:56:54,03:12:41,09:23:39,36,157,175,00:03:33,00:04:47
2075,"Kerdel, Niels",NLD,Male,M30-34,01:06:22,05:08:22,03:02:41,09:23:42,37,158,176,00:03:12,00:03:05
1175,"Greist, Revere",USA,Male,M45-49,00:56:36,04:37:21,03:40:55,09:23:42,8,158,176,00:04:09,00:04:41
2137,"Schnell, Manuel",AUT,Male,M30-34,00:59:17,04:48:29,03:27:49,09:23:44,38,160,178,00:03:59,00:04:10
1840,"Lawler, Rhys",AUS,Male,M35-39,01:01:37,04:55:14,03:19:09,09:23:53,35,161,179,00:04:15,00:03:38
2127,"Roth, Christian",DEU,Male,M30-34,01:08:55,05:02:47,03:04:04,09:23:55,39,162,180,00:04:41,00:03:28
1894,"Ross, Duncan",CAN,Male,M35-39,01:03:58,05:02:05,03:11:05,09:23:59,36,163,181,00:03:13,00:03:38
2237,"Born, David",USA,Male,M25-29,00:58:57,04:38:57,03:39:14,09:24:11,20,164,182,00:04:33,00:02:30
1831,"Kelly, Emmet",IRL,Male,M35-39,01:03:17,05:09:09,03:04:16,09:24:15,37,165,183,00:04:27,00:03:06
1456,"Close, Pierre",BEL,Male,M40-44,01:00:09,05:03:38,03:11:41,09:24:29,18,166,184,00:04:39,00:04:22
2248,"Dortmann, Nathan",FRA,Male,M25-29,01:01:32,04:52:58,03:23:03,09:24:30,21,167,185,00:03:04,00:03:53
1564,"Marcolini, Benoit",FRA,Male,M40-44,01:03:44,04:57:15,03:15:28,09:24:33,19,168,186,00:02:57,00:05:09
1750,"Arce diaz, Pablo",CRI,Male,M35-39,01:06:32,04:49:45,03:21:27,09:24:33,38,168,186,00:02:53,00:03:56
1615,"Setola, Tero Juhani",FIN,Male,M40-44,01:00:21,04:52:58,03:23:29,09:24:34,20,170,188,00:02:53,00:04:53
2311,"Sorensen, Lasse Strandet",DNK,Male,M25-29,01:04:42,04:43:25,03:29:38,09:24:35,22,171,189,00:03:16,00:03:34
2149,"Tamm, Pirmin",EST,Male,M30-34,00:56:01,04:46:15,03:36:35,09:24:38,40,172,190,00:02:21,00:03:26
2275,"Kubono, Kazuki",JPN,Male,M25-29,00:55:50,04:58:57,03:23:23,09:24:43,23,173,191,00:02:39,00:03:54
2151,"Teren, Todd",USA,Male,M30-34,00:54:47,04:53:55,03:29:48,09:24:48,41,174,192,00:03:22,00:02:56
2412,"Schnodewind, Lukas",DEU,Male,M18-24,00:53:20,04:49:10,03:36:13,09:24:54,4,175,193,00:02:33,00:03:38
1620,"Simon, Oliver",GBR,Male,M40-44,00:52:51,04:42:36,03:43:26,09:25:03,21,176,194,00:02:35,00:03:35
2051,"Gottsche, Soren",DEU,Male,M30-34,01:01:38,04:48:28,03:25:13,09:25:16,42,177,195,00:04:19,00:05:38
1891,"Risbey, Nathan",GBR,Male,M35-39,01:03:12,05:05:14,03:09:18,09:25:27,39,178,196,00:03:25,00:04:18
2395,"Humby, Robert William",NZL,Male,M18-24,00:58:44,05:00:59,03:19:23,09:25:28,5,179,197,00:03:45,00:02:37
1927,"Vigariu, Mihai",ROU,Male,M35-39,01:00:13,04:51:00,03:28:49,09:25:37,40,180,198,00:02:41,00:02:54
1761,"Birke, Christian",DEU,Male,M35-39,01:02:06,04:54:26,03:20:31,09:25:50,41,181,199,00:03:21,00:05:26
927,"Jalabert, Laurent",FRA,Male,M50-54,01:10:59,04:45:46,03:22:56,09:25:53,2,182,200,00:03:15,00:02:57
1582,"Osokin, Victor",RUS,Male,M40-44,01:12:01,04:52:36,03:12:56,09:25:55,22,183,201,00:02:53,00:05:29
1578,"Oakshott, Mark",AUS,Male,M40-44,01:05:13,05:01:42,03:12:35,09:25:59,23,184,202,00:03:26,00:03:03
3044,"Watkinson, Annah",ZAF,Female,FPRO,00:59:14,05:05:19,03:16:09,09:26:03,18,19,203,00:02:29,00:02:52
2047,"Gazit, Omri",ISR,Male,M30-34,00:54:52,05:02:33,03:21:36,09:26:18,43,185,204,00:03:07,00:04:10
